=============== RESTART: C:/Users/蔡弘祥/Desktop/普物程式/HW3/HW3.py ==============
第 170 次的週期約為 6516 天;目前平均約為 6484 天
第 171 次的週期約為 6431 天;目前平均約為 6483 天
第 172 次的週期約為 6520 天;目前平均約為 6484 天
第 173 次的週期約為 6518 天;目前平均約為 6484 天
第 174 次的週期約為 6427 天;目前平均約為 6484 天
第 175 次的週期約為 6518 天;目前平均約為 6484 天
第 176 次的週期約為 6520 天;目前平均約為 6484 天
第 177 次的週期約為 6424 天;目前平均約為 6484 天
第 178 次的週期約為 6516 天;目前平均約為 6484 天
第 179 次的週期約為 6431 天;目前平均約為 6484 天
第 180 次的週期約為 6515 天;目前平均約為 6484 天
第 181 次的週期約為 6518 天;目前平均約為 6484 天
第 182 次的週期約為 6428 天;目前平均約為 6484 天
第 183 次的週期約為 6517 天;目前平均約為 6484 天
第 184 次的週期約為 6528 天;目前平均約為 6484 天
第 185 次的週期約為 6418 天;目前平均約為 6484 天
第 186 次的週期約為 6516 天;目前平均約為 6484 天
第 187 次的週期約為 6429 天;目前平均約為 6484 天
第 188 次的週期約為 6521 天;目前平均約為 6484 天
第 189 次的週期約為 6520 天;目前平均約為 6484 天
第 190 次的週期約為 6426 天;目前平均約為 6484 天
第 191 次的週期約為 6518 天;目前平均約為 6484 天
第 192 次的週期約為 6434 天;目前平均約為 6484 天
第 193 次的週期約為 6511 天;目前平均約為 6484 天
第 194 次的週期約為 6516 天;目前平均約為 6484 天
第 195 次的週期約為 6430 天;目前平均約為 6484 天
第 196 次的週期約為 6516 天;目前平均約為 6484 天
第 197 次的週期約為 6518 天;目前平均約為 6484 天
第 198 次的週期約為 6426 天;目前平均約為 6484 天
第 199 次的週期約為 6517 天;目前平均約為 6484 天
第 200 次的週期約為 6432 天;目前平均約為 6484 天
第 201 次的週期約為 6514 天;目前平均約為 6484 天
第 202 次的週期約為 6516 天;目前平均約為 6484 天
第 203 次的週期約為 6429 天;目前平均約為 6484 天
第 204 次的週期約為 6518 天;目前平均約為 6484 天
第 205 次的週期約為 6524 天;目前平均約為 6484 天
第 206 次的週期約為 6426 天;目前平均約為 6484 天
第 207 次的週期約為 6517 天;目前平均約為 6484 天
第 208 次的週期約為 6432 天;目前平均約為 6484 天
第 209 次的週期約為 6513 天;目前平均約為 6484 天
第 210 次的週期約為 6517 天;目前平均約為 6484 天
第 211 次的週期約為 6429 天;目前平均約為 6484 天
第 212 次的週期約為 6517 天;目前平均約為 6484 天
第 213 次的週期約為 6520 天;目前平均約為 6484 天
第 214 次的週期約為 6426 天;目前平均約為 6484 天
第 215 次的週期約為 6516 天;目前平均約為 6484 天
第 216 次的週期約為 6431 天;目前平均約為 6484 天
第 217 次的週期約為 6515 天;目前平均約為 6484 天
第 218 次的週期約為 6517 天;目前平均約為 6484 天
第 219 次的週期約為 6428 天;目前平均約為 6484 天
第 220 次的週期約為 6518 天;目前平均約為 6484 天
第 221 次的週期約為 6526 天;目前平均約為 6484 天
第 222 次的週期約為 6420 天;目前平均約為 6484 天
第 223 次的週期約為 6516 天;目前平均約為 6484 天
第 224 次的週期約為 6436 天;目前平均約為 6484 天
第 225 次的週期約為 6514 天;目前平均約為 6484 天
第 226 次的週期約為 6518 天;目前平均約為 6484 天
第 227 次的週期約為 6428 天;目前平均約為 6484 天
第 228 次的週期約為 6518 天;目前平均約為 6484 天
第 229 次的週期約為 6521 天;目前平均約為 6484 天
第 230 次的週期約為 6424 天;目前平均約為 6484 天
第 231 次的週期約為 6516 天;目前平均約為 6484 天
